Model,MAE,RMSE,R2,Time
Ridge,0.7887143807742618,1.0485334960060047,0.9987856711860142,0.00025272369384765625
Linear,0.7887462757819338,1.0488531674039672,0.9987849306367326,0.0004241466522216797
Lasso,0.87997869303104,1.1403871666599406,0.9985635969280081,0.0001614093780517578
SVR,1.010278817805676,1.4204501336962678,0.997771443410382,0.7344164848327637
RandomForest,1.1643062455642301,1.7399525621577334,0.9966561522253735,0.04811501502990723
ElasticNet,1.7690847230222277,2.285027732626601,0.9942329378294676,0.000133514404296875
DecisionTree,2.4245826636247036,3.545245568153883,0.9861176072111651,0.00042366981506347656
