Model,Accuracy,Precision,Recall,F1,ROC-AUC,Time
LogisticRegression,0.8097941802696949,0.6790540540540541,0.5374331550802139,0.6,0.8469709886589681,0.0005388259887695312
DecisionTree,0.7984386089425124,0.6347305389221557,0.5668449197860963,0.5988700564971752,0.8300576093414969,0.0007135868072509766
RandomForest,0.7814052519517388,0.6057692307692307,0.5053475935828877,0.5510204081632653,0.8181676095998346,0.06144595146179199
SVM,0.7934705464868701,0.6487455197132617,0.4839572192513369,0.554364471669219,0.7946472396600275,0.7835483551025391
KNN,0.7686302342086586,0.5631578947368421,0.5721925133689839,0.5676392572944297,0.791096385853419,0.03237771987915039
